eqId,runId,optId,D,OA,TO,xmax,ymax,zmax,tmax,fpSize,addsLup,subsLup,multsLup,divsLup,readsLup,writesLup,ldMats,immediateMats,nThreads,duration (s)
generic,1,PD,3,2,1,64,64,64,16,8,7,0,8,1,6,1,0,1,1,0.0208
generic,1,PD,1,4,1,2.56e+05,0,0,16,8,5,0,6,1,2,1,0,1,1,0.01938
generic,1,PD,2,4,1,512,512,0,16,8,9,0,10,1,6,1,0,1,1,0.02255
generic,1,PD,3,4,1,64,64,64,16,8,13,0,14,1,10,1,0,1,1,0.08538
generic,1,PD,1,2,2,2.56e+05,0,0,16,8,4,0,5,1,3,1,0,1,1,0.01321
generic,1,PD,2,2,2,512,512,0,16,8,6,0,7,1,5,1,0,1,1,0.01631
generic,1,PD,3,2,2,64,64,64,16,8,8,0,9,1,7,1,0,1,1,0.02926
generic,1,PD,1,4,2,2.56e+05,0,0,16,8,6,0,7,1,3,1,0,1,1,0.01602
generic,1,PD,2,4,2,512,512,0,16,8,10,0,11,1,7,1,0,1,1,0.02319
generic,1,PD,3,4,2,64,64,64,16,8,14,0,15,1,11,1,0,1,1,0.1072
generic,1,PD,1,2,0,2.56e+05,0,0,16,8,2,0,3,1,4,1,1,1,1,0.01322
generic,1,PD,2,2,0,512,512,0,16,8,4,0,5,1,8,1,1,1,1,0.02127
generic,1,PD,3,2,0,64,64,64,16,8,6,0,7,1,12,1,1,1,1,0.04098
generic,1,PD,1,4,0,2.56e+05,0,0,16,8,4,0,5,1,6,1,1,1,1,0.01865
generic,1,PD,2,4,0,512,512,0,16,8,8,0,9,1,14,1,1,1,1,0.05415
generic,1,PD,3,4,0,64,64,64,16,8,12,0,13,1,22,1,1,1,1,0.1306
generic,1,PD,1,2,1,2.56e+05,0,0,16,8,3,0,4,1,5,1,1,1,1,0.01321
generic,1,PD,2,2,1,512,512,0,16,8,5,0,6,1,9,1,1,1,1,0.02089
generic,1,PD,3,2,1,64,64,64,16,8,7,0,8,1,13,1,1,1,1,0.03832
generic,1,PD,1,4,1,2.56e+05,0,0,16,8,5,0,6,1,7,1,1,1,1,0.01853
generic,1,PD,2,4,1,512,512,0,16,8,9,0,10,1,15,1,1,1,1,0.0314
generic,1,PD,3,4,1,64,64,64,16,8,13,0,14,1,23,1,1,1,1,0.1087
generic,1,PD,1,2,2,2.56e+05,0,0,16,8,4,0,5,1,6,1,1,1,1,0.01432
generic,1,PD,2,2,2,512,512,0,16,8,6,0,7,1,10,1,1,1,1,0.02943
generic,1,PD,3,2,2,64,64,64,16,8,8,0,9,1,14,1,1,1,1,0.04189
generic,1,PD,1,4,2,2.56e+05,0,0,16,8,6,0,7,1,8,1,1,1,1,0.02045
generic,1,PD,2,4,2,512,512,0,16,8,10,0,11,1,16,1,1,1,1,0.06404
generic,1,PD,3,4,2,64,64,64,16,8,14,0,15,1,24,1,1,1,1,0.1153
generic,1,PD,1,2,0,2.56e+05,0,0,16,8,2,0,4,0,1,1,0,1,1,0.005234
generic,1,PD,2,2,0,512,512,0,16,8,4,0,6,0,3,1,0,1,1,0.009088
generic,1,PD,3,2,0,64,64,64,16,8,6,0,8,0,5,1,0,1,1,0.01753
generic,1,PD,1,4,0,2.56e+05,0,0,16,8,4,0,6,0,1,1,0,1,1,0.01224
